"","data.id","name","number.of.features","number.of.instances","number.of.numeric.features","number.of.symbolic.features","clusters","miss"
"2",3,"kr-vs-kp",37,3196,0,37,11,FALSE
"3",4,"labor",17,57,8,9,9,TRUE
"12",13,"breast-cancer",10,286,0,10,9,TRUE
"14",15,"breast-w",10,699,9,1,9,TRUE
"20",24,"mushroom",23,8124,0,23,11,TRUE
"21",25,"colic",27,368,7,20,11,TRUE
"25",29,"credit-approval",16,690,6,10,9,TRUE
"27",31,"credit-g",21,1000,7,14,11,FALSE
"32",37,"diabetes",9,768,8,1,6,FALSE
"33",38,"sick",30,3772,7,23,11,TRUE
"35",40,"sonar",61,208,60,1,6,FALSE
"38",43,"haberman",4,306,2,2,6,FALSE
"39",44,"spambase",58,4601,57,1,6,FALSE
"42",49,"heart-c",14,303,6,8,9,TRUE
"43",50,"tic-tac-toe",10,958,0,10,8,FALSE
"44",51,"heart-h",14,294,6,8,9,TRUE
"45",52,"trains",33,10,0,33,11,TRUE
"46",53,"heart-statlog",14,270,13,1,6,FALSE
"48",55,"hepatitis",20,155,6,14,11,TRUE
"49",56,"vote",17,435,0,17,11,TRUE
"51",59,"ionosphere",35,351,34,1,6,FALSE
"57",72,"BNG(kr-vs-kp)",37,1000000,0,37,3,FALSE
"58",73,"BNG(labor,nominal,1000000)",17,1000000,0,17,3,FALSE
"62",77,"BNG(breast-cancer,nominal,1000000)",10,1000000,0,10,3,FALSE
"69",120,"BNG(mushroom)",23,1000000,0,23,3,FALSE
"70",121,"BNG(colic.ORIG,nominal,1000000)",28,1000000,0,28,3,FALSE
"71",122,"BNG(colic,nominal,1000000)",23,1000000,0,23,3,FALSE
"73",124,"BNG(credit-a,nominal,1000000)",16,1000000,0,16,3,FALSE
"75",126,"BNG(credit-g,nominal,1000000)",21,1000000,0,21,3,FALSE
"77",128,"BNG(cylinder-bands,nominal,1000000)",40,1000000,0,40,3,FALSE
"80",131,"BNG(sick,nominal,1000000)",30,1000000,0,30,3,FALSE
"81",132,"BNG(sonar,nominal,1000000)",61,1000000,0,61,3,FALSE
"84",135,"BNG(spambase)",58,1000000,0,58,3,FALSE
"86",137,"BNG(tic-tac-toe)",10,39366,0,10,3,FALSE
"88",139,"BNG(trains)",33,1000000,0,33,3,FALSE
"89",140,"BNG(heart-statlog,nominal,1000000)",14,1000000,0,14,3,FALSE
"91",142,"BNG(hepatitis,nominal,1000000)",20,1000000,0,20,3,FALSE
"92",143,"BNG(vote)",17,131072,0,17,3,FALSE
"94",146,"BNG(ionosphere)",35,1000000,0,35,3,FALSE
"99",151,"electricity",9,45312,7,2,3,FALSE
"100",152,"Hyperplane_10_1E-3",11,1000000,10,1,3,FALSE
"101",153,"Hyperplane_10_1E-4",11,1000000,10,1,3,FALSE
"109",161,"SEA(50)",4,1000000,3,1,3,FALSE
"110",162,"SEA(50000)",4,1000000,3,1,3,FALSE
"112",164,"molecular-biology_promoters",59,106,0,59,13,FALSE
"114",172,"shuttle-landing-control",7,15,0,7,9,TRUE
"115",179,"adult",15,48842,2,13,3,TRUE
"168",246,"BNG(labor)",17,1000000,8,9,3,FALSE
"173",251,"BNG(breast-w)",10,39366,9,1,3,FALSE
"178",256,"BNG(colic.ORIG)",28,1000000,7,21,3,FALSE
"179",257,"BNG(colic)",23,1000000,7,16,3,FALSE
"180",258,"BNG(credit-a)",16,1000000,6,10,3,FALSE
"182",260,"BNG(credit-g)",21,1000000,7,14,3,FALSE
"184",262,"BNG(cylinder-bands)",40,1000000,18,22,3,FALSE
"186",264,"BNG(sonar)",61,1000000,60,1,3,FALSE
"189",267,"BNG(heart-statlog)",14,1000000,13,1,3,FALSE
"191",269,"BNG(hepatitis)",20,1000000,6,14,3,FALSE
"194",273,"IMDB.drama",1002,120919,1001,1,3,FALSE
"195",274,"20_newsgroups.drift",1002,399940,0,1001,3,FALSE
"203",293,"covertype",55,581012,54,1,12,FALSE
"212",310,"mammography",7,11183,6,1,4,FALSE
"213",311,"oil_spill",50,937,49,1,6,FALSE
"214",312,"scene",300,2407,294,6,2,FALSE
"217",316,"yeast_ml8",117,2417,103,14,11,FALSE
"221",333,"monks-problems-1",7,556,0,7,8,FALSE
"222",334,"monks-problems-2",7,601,0,7,8,FALSE
"223",335,"monks-problems-3",7,554,0,7,8,FALSE
"224",336,"SPECT",23,267,0,23,11,FALSE
"225",337,"SPECTF",45,349,44,1,6,FALSE
"232",346,"aids",5,50,2,3,6,FALSE
"233",350,"webdata_wXa",124,36974,123,1,3,FALSE
"234",351,"codrna",9,488565,8,1,12,FALSE
"235",354,"poker",11,1025010,10,1,3,FALSE
"236",357,"vehicle_sensIT",101,98528,100,1,3,FALSE
"241",376,"SyskillWebert-Sheep",3,65,0,1,6,FALSE
"309",444,"analcatdata_boxing2",4,132,0,4,8,FALSE
"310",446,"prnn_crabs",8,200,6,2,6,FALSE
"311",448,"analcatdata_boxing1",4,120,0,4,8,FALSE
"313",450,"analcatdata_lawsuit",5,264,3,2,6,FALSE
"314",451,"irish",6,500,2,4,9,TRUE
"322",459,"analcatdata_asbestos",4,83,1,3,6,FALSE
"324",461,"analcatdata_creditscore",7,100,3,4,8,FALSE
"326",463,"backache",33,180,6,27,11,FALSE
"327",464,"prnn_synth",3,250,2,1,6,FALSE
"328",465,"analcatdata_cyyoung8092",11,97,7,4,8,FALSE
"329",466,"schizo",15,340,12,3,9,TRUE
"330",467,"analcatdata_japansolvent",10,52,8,2,6,FALSE
"333",470,"profb",10,672,5,5,9,TRUE
"335",472,"lupus",4,87,3,1,6,FALSE
"338",476,"analcatdata_bankruptcy",7,50,5,2,6,FALSE
"340",479,"analcatdata_cyyoung9302",11,92,6,5,8,FALSE
"342",481,"biomed",9,209,7,2,9,TRUE
"532",682,"sleuth_ex2016",11,87,9,2,6,FALSE
"533",683,"sleuth_ex2015",8,60,7,1,6,FALSE
"562",713,"vineyard",4,52,3,1,6,FALSE
"563",714,"fruitfly",5,125,2,3,6,FALSE
"564",715,"fri_c3_1000_25",26,1000,25,1,6,FALSE
"565",716,"fri_c3_100_50",51,100,50,1,6,FALSE
"566",717,"rmftsa_ladata",11,508,10,1,6,FALSE
"567",718,"fri_c4_1000_100",101,1000,100,1,6,FALSE
"568",719,"veteran",8,137,3,5,8,FALSE
"569",720,"abalone",9,4177,7,2,6,FALSE
"570",721,"pwLinear",11,200,10,1,6,FALSE
"571",722,"pol",49,15000,48,1,4,FALSE
"572",723,"fri_c4_1000_25",26,1000,25,1,6,FALSE
"573",724,"analcatdata_vineyard",4,468,2,2,6,FALSE
"574",725,"bank8FM",9,8192,8,1,4,FALSE
"575",726,"fri_c2_100_5",6,100,5,1,6,FALSE
"576",727,"2dplanes",11,40768,10,1,3,FALSE
"577",728,"analcatdata_supreme",8,4052,7,1,6,FALSE
"578",729,"visualizing_slope",4,44,3,1,6,FALSE
"579",730,"fri_c1_250_5",6,250,5,1,6,FALSE
"580",731,"baskball",5,96,4,1,6,FALSE
"581",732,"fri_c0_250_50",51,250,50,1,6,FALSE
"582",733,"machine_cpu",7,209,6,1,6,FALSE
"583",734,"ailerons",41,13750,40,1,4,FALSE
"584",735,"cpu_small",13,8192,12,1,4,FALSE
"585",736,"visualizing_environmental",4,111,3,1,6,FALSE
"586",737,"space_ga",7,3107,6,1,6,FALSE
"587",738,"pharynx",12,195,1,11,9,TRUE
"588",739,"sleep",8,62,7,1,9,TRUE
"589",740,"fri_c3_1000_10",11,1000,10,1,6,FALSE
"590",741,"rmftsa_sleepdata",3,1024,1,2,6,FALSE
"591",742,"fri_c4_500_100",101,500,100,1,6,FALSE
"592",743,"fri_c1_1000_5",6,1000,5,1,6,FALSE
"593",744,"fri_c3_250_5",6,250,5,1,6,FALSE
"594",745,"auto_price",16,159,14,2,6,FALSE
"595",746,"fri_c1_250_25",26,250,25,1,6,FALSE
"596",747,"servo",5,167,0,5,8,FALSE
"597",748,"analcatdata_wildcat",6,163,3,3,6,FALSE
"598",749,"fri_c3_500_5",6,500,5,1,6,FALSE
"599",750,"pm10",8,500,7,1,6,FALSE
"600",751,"fri_c4_1000_10",11,1000,10,1,6,FALSE
"601",752,"puma32H",33,8192,32,1,4,FALSE
"602",753,"wisconsin",33,194,32,1,6,FALSE
"603",754,"fri_c0_100_5",6,100,5,1,6,FALSE
"604",755,"sleuth_ex1605",6,62,5,1,6,FALSE
"605",756,"autoPrice",16,159,15,1,6,FALSE
"606",757,"meta",22,528,19,3,9,TRUE
"607",758,"analcatdata_election2000",16,67,14,2,6,FALSE
"608",759,"analcatdata_olympic2000",13,66,11,2,6,FALSE
"609",760,"analcatdata_uktrainacc",17,31,16,1,9,TRUE
"610",761,"cpu_act",22,8192,21,1,4,FALSE
"611",762,"fri_c2_100_10",11,100,10,1,6,FALSE
"612",763,"fri_c0_250_10",11,250,10,1,6,FALSE
"613",764,"analcatdata_apnea3",4,450,1,3,6,FALSE
"614",765,"analcatdata_apnea2",4,475,1,3,6,FALSE
"615",766,"fri_c1_500_50",51,500,50,1,6,FALSE
"616",767,"analcatdata_apnea1",4,475,1,3,6,FALSE
"617",768,"fri_c3_100_25",26,100,25,1,6,FALSE
"618",769,"fri_c1_250_50",51,250,50,1,6,FALSE
"619",770,"strikes",7,625,6,1,6,FALSE
"620",771,"analcatdata_michiganacc",5,108,2,3,6,FALSE
"621",772,"quake",4,2178,3,1,6,FALSE
"622",773,"fri_c0_250_25",26,250,25,1,6,FALSE
"623",774,"disclosure_x_bias",4,662,3,1,6,FALSE
"624",775,"fri_c2_100_25",26,100,25,1,6,FALSE
"625",776,"fri_c0_250_5",6,250,5,1,6,FALSE
"626",777,"sleuth_ex1714",8,47,7,1,6,FALSE
"627",778,"bodyfat",15,252,14,1,6,FALSE
"628",779,"fri_c1_500_25",26,500,25,1,6,FALSE
"629",780,"rabe_265",7,51,6,1,6,FALSE
"630",782,"rabe_266",3,120,2,1,6,FALSE
"631",783,"fri_c3_100_10",11,100,10,1,6,FALSE
"632",784,"newton_hema",4,140,2,2,6,FALSE
"633",785,"wind_correlations",47,45,46,1,6,FALSE
"634",786,"cleveland",14,303,6,8,9,TRUE
"635",787,"witmer_census_1980",6,50,4,2,6,FALSE
"636",788,"triazines",61,186,60,1,6,FALSE
"637",789,"fri_c1_100_10",11,100,10,1,6,FALSE
"638",790,"elusage",3,55,1,2,6,FALSE
"639",791,"diabetes_numeric",3,43,2,1,6,FALSE
"640",792,"fri_c2_500_5",6,500,5,1,6,FALSE
"641",793,"fri_c3_250_10",11,250,10,1,6,FALSE
"642",794,"fri_c2_250_25",26,250,25,1,6,FALSE
"643",795,"disclosure_x_tampered",4,662,3,1,6,FALSE
"644",796,"cpu",8,209,6,2,6,FALSE
"645",797,"fri_c4_1000_50",51,1000,50,1,6,FALSE
"646",798,"cholesterol",14,303,6,8,9,TRUE
"647",799,"fri_c0_1000_5",6,1000,5,1,6,FALSE
"648",800,"pyrim",28,74,27,1,6,FALSE
"649",801,"chscase_funds",4,185,2,2,6,FALSE
"650",802,"pbcseq",19,1945,12,7,9,TRUE
"651",803,"delta_ailerons",6,7129,5,1,4,FALSE
"652",804,"hutsof99_logis",8,70,3,5,8,FALSE
"653",805,"fri_c4_500_50",51,500,50,1,6,FALSE
"654",806,"fri_c3_1000_50",51,1000,50,1,6,FALSE
"655",807,"kin8nm",9,8192,8,1,4,FALSE
"656",808,"fri_c0_100_10",11,100,10,1,6,FALSE
"657",810,"pbc",19,418,10,9,9,TRUE
"658",811,"rmftsa_ctoarrivals",3,264,1,2,6,FALSE
"659",812,"fri_c1_100_25",26,100,25,1,6,FALSE
"660",813,"fri_c3_1000_5",6,1000,5,1,6,FALSE
"661",814,"chscase_vine2",3,468,2,1,6,FALSE
"662",815,"chscase_vine1",10,52,9,1,6,FALSE
"663",816,"puma8NH",9,8192,8,1,4,FALSE
"664",817,"diggle_table_a1",5,48,4,1,6,FALSE
"665",818,"diggle_table_a2",9,310,7,2,6,FALSE
"666",819,"delta_elevators",7,9517,6,1,4,FALSE
"667",820,"chatfield_4",13,235,12,1,6,FALSE
"668",821,"house_16H",17,22784,16,1,4,FALSE
"669",823,"houses",9,20640,8,1,4,FALSE
"670",824,"fri_c1_500_10",11,500,10,1,6,FALSE
"671",825,"boston_corrected",21,506,17,4,8,FALSE
"672",826,"sensory",12,576,0,12,8,FALSE
"673",827,"disclosure_x_noise",4,662,3,1,6,FALSE
"674",828,"fri_c4_100_100",101,100,100,1,6,FALSE
"675",829,"fri_c1_100_5",6,100,5,1,6,FALSE
"676",830,"fri_c2_250_10",11,250,10,1,6,FALSE
"677",831,"autoMpg",8,398,4,4,9,TRUE
"678",832,"fri_c3_250_25",26,250,25,1,6,FALSE
"679",833,"bank32nh",33,8192,32,1,4,FALSE
"680",834,"fri_c4_250_100",101,250,100,1,6,FALSE
"681",835,"analcatdata_vehicle",5,48,0,5,8,FALSE
"682",836,"sleuth_case1102",9,34,5,4,8,FALSE
"683",837,"fri_c1_1000_50",51,1000,50,1,6,FALSE
"684",838,"fri_c4_500_25",26,500,25,1,6,FALSE
"685",839,"kdd_el_nino-small",9,782,6,3,9,TRUE
"686",840,"autoHorse",26,205,17,9,9,TRUE
"687",841,"stock",10,950,9,1,6,FALSE
"688",842,"analcatdata_runshoes",11,60,4,7,9,TRUE
"689",843,"house_8L",9,22784,8,1,4,FALSE
"690",844,"breastTumor",10,286,1,9,9,TRUE
"691",845,"fri_c0_1000_10",11,1000,10,1,6,FALSE
"692",846,"elevators",19,16599,18,1,4,FALSE
"693",847,"wind",15,6574,14,1,4,FALSE
"694",848,"schlvote",6,38,4,2,6,FALSE
"695",849,"fri_c0_1000_25",26,1000,25,1,6,FALSE
"696",850,"fri_c0_100_50",51,100,50,1,6,FALSE
"697",851,"tecator",125,240,124,1,6,FALSE
"698",852,"analcatdata_gsssexsurvey",10,159,4,6,9,TRUE
"699",853,"boston",14,506,12,2,6,FALSE
"700",854,"fishcatch",8,158,5,3,9,TRUE
"701",855,"fri_c4_500_10",11,500,10,1,6,FALSE
"702",857,"bolts",8,40,7,1,6,FALSE
"703",858,"hungarian",14,294,6,8,9,TRUE
"704",859,"analcatdata_gviolence",10,74,8,2,6,FALSE
"705",860,"vinnie",3,380,2,1,6,FALSE
"706",861,"auto93",23,93,16,7,9,TRUE
"708",863,"fri_c4_250_10",11,250,10,1,6,FALSE
"710",865,"analcatdata_neavote",4,100,1,3,6,FALSE
"711",866,"fri_c2_1000_50",51,1000,50,1,6,FALSE
"712",867,"visualizing_livestock",3,130,0,3,6,FALSE
"713",868,"fri_c4_100_25",26,100,25,1,6,FALSE
"714",869,"fri_c2_500_10",11,500,10,1,6,FALSE
"715",870,"fri_c1_500_5",6,500,5,1,6,FALSE
"716",871,"pollen",6,3848,5,1,6,FALSE
"717",873,"fri_c3_250_50",51,250,50,1,6,FALSE
"718",874,"rabe_131",6,50,5,1,6,FALSE
"719",875,"analcatdata_chlamydia",4,100,0,4,8,FALSE
"720",876,"fri_c1_100_50",51,100,50,1,6,FALSE
"721",877,"fri_c2_250_50",51,250,50,1,6,FALSE
"722",878,"fri_c4_100_10",11,100,10,1,6,FALSE
"723",879,"fri_c2_500_25",26,500,25,1,6,FALSE
"724",880,"mu284",11,284,10,1,6,FALSE
"725",881,"mv",11,40768,7,4,3,FALSE
"726",882,"pollution",16,60,15,1,6,FALSE
"727",884,"fri_c0_500_5",6,500,5,1,6,FALSE
"728",885,"transplant",4,131,3,1,6,FALSE
"729",886,"no2",8,500,7,1,6,FALSE
"730",887,"mbagrade",3,61,1,2,6,FALSE
"731",888,"fri_c0_500_50",51,500,50,1,6,FALSE
"732",889,"fri_c0_100_25",26,100,25,1,6,FALSE
"733",890,"cloud",8,108,6,2,6,FALSE
"734",891,"sleuth_case1202",7,93,4,3,6,FALSE
"735",892,"sleuth_case1201",8,50,6,2,6,FALSE
"736",893,"visualizing_hamster",6,73,5,1,6,FALSE
"737",894,"rabe_148",6,66,5,1,6,FALSE
"738",895,"chscase_geyser1",3,222,2,1,6,FALSE
"739",896,"fri_c3_500_25",26,500,25,1,6,FALSE
"740",897,"colleges_aaup",17,1161,13,4,9,TRUE
"741",898,"hip",8,54,7,1,9,TRUE
"742",899,"analcatdata_negotiation",6,92,4,2,9,TRUE
"743",900,"chscase_census6",7,400,6,1,6,FALSE
"744",901,"fried",11,40768,10,1,3,FALSE
"745",902,"sleuth_case2002",7,147,2,5,8,FALSE
"746",903,"fri_c2_1000_25",26,1000,25,1,6,FALSE
"747",904,"fri_c0_1000_50",51,1000,50,1,6,FALSE
"748",905,"chscase_adopt",4,39,2,2,6,FALSE
"749",906,"chscase_census5",8,400,7,1,6,FALSE
"750",907,"chscase_census4",8,400,7,1,6,FALSE
"751",908,"chscase_census3",8,400,7,1,6,FALSE
"752",909,"chscase_census2",8,400,7,1,6,FALSE
"753",910,"fri_c1_1000_10",11,1000,10,1,6,FALSE
"754",911,"fri_c2_250_5",6,250,5,1,6,FALSE
"755",912,"fri_c2_1000_5",6,1000,5,1,6,FALSE
"756",913,"fri_c2_1000_10",11,1000,10,1,6,FALSE
"757",914,"balloon",3,2001,2,1,6,FALSE
"758",915,"plasma_retinol",14,315,10,4,8,FALSE
"759",916,"fri_c3_100_5",6,100,5,1,6,FALSE
"760",917,"fri_c1_1000_25",26,1000,25,1,6,FALSE
"761",918,"fri_c4_250_50",51,250,50,1,6,FALSE
"762",919,"rabe_166",3,40,2,1,6,FALSE
"763",920,"fri_c2_500_50",51,500,50,1,6,FALSE
"764",921,"analcatdata_seropositive",4,132,2,2,6,FALSE
"765",922,"fri_c2_100_50",51,100,50,1,6,FALSE
"766",923,"visualizing_soil",5,8641,3,2,4,FALSE
"767",924,"humandevel",4,130,2,2,6,FALSE
"768",925,"visualizing_galaxy",5,323,4,1,6,FALSE
"769",926,"fri_c0_500_25",26,500,25,1,6,FALSE
"770",927,"hutsof99_child_witness",17,42,16,1,6,FALSE
"771",928,"rabe_97",5,46,3,2,6,FALSE
"772",929,"rabe_176",5,70,4,1,6,FALSE
"773",930,"colleges_usnews",35,1302,32,3,9,TRUE
"774",931,"disclosure_z",4,662,3,1,6,FALSE
"775",932,"fri_c4_100_50",51,100,50,1,6,FALSE
"776",933,"fri_c4_250_25",26,250,25,1,6,FALSE
