"id","var_per","row_per","miss_per","num_per","cat_per","miss_inst_per"
4,5.88,1.75,0.31,0,100,1.79
4,17.65,1.75,0.92,0,100,1.79
4,23.53,1.75,1.23,0,100,1.79
4,23.53,1.75,1.23,0,100,1.79
4,29.41,1.75,1.53,0,100,1.79
4,17.65,1.75,0.92,0,100,1.79
4,23.53,3.51,1.23,0,100,3.57
4,23.53,1.75,1.23,0,100,1.79
4,17.65,3.51,0.92,33.3,66.7,3.57
4,23.53,1.75,1.23,25,75,1.79
4,23.53,1.75,1.23,25,75,1.79
4,35.29,1.75,1.84,16.7,83.3,1.79
4,35.29,1.75,1.84,16.7,83.3,1.79
4,29.41,1.75,1.53,20,80,1.79
4,23.53,1.75,1.23,25,75,1.79
4,29.41,1.75,1.53,20,80,1.79
4,35.29,1.75,1.84,33.3,66.7,1.79
4,35.29,1.75,1.84,33.3,66.7,1.79
4,41.18,1.75,2.15,14.3,85.7,1.79
4,41.18,3.51,2.15,28.6,71.4,3.57
4,23.53,1.75,1.23,25,75,1.79
4,29.41,1.75,1.53,20,80,1.79
4,41.18,3.51,2.15,14.3,85.7,3.57
4,35.29,3.51,1.84,33.3,66.7,3.57
4,35.29,1.75,1.84,33.3,66.7,1.79
4,23.53,1.75,1.23,25,75,1.79
4,35.29,1.75,1.84,50,50,1.79
4,41.18,1.75,2.15,42.9,57.1,1.79
4,47.06,1.75,2.45,25,75,1.79
4,47.06,1.75,2.45,25,75,1.79
4,52.94,3.51,2.76,33.3,66.7,3.57
4,11.76,1.75,0.61,0,100,1.79
4,17.65,3.51,0.92,0,100,3.57
4,23.53,1.75,1.23,25,75,1.79
4,35.29,1.75,1.84,0,100,1.79
4,47.06,1.75,2.45,12.5,87.5,1.79
4,52.94,1.75,2.76,22.2,77.8,1.79
4,52.94,1.75,2.76,22.2,77.8,1.79
4,58.82,1.75,3.07,20,80,1.79
4,52.94,1.75,2.76,22.2,77.8,1.79
4,23.53,1.75,1.23,25,75,1.79
4,35.29,1.75,1.84,16.7,83.3,1.79
4,29.41,1.75,1.53,20,80,1.79
