"","pattern_count","RIVER","ERECTED","PURPOSE","binaryClass","LOCATION","CLEAR.G","MATERIAL","T.OR.D","REL.L","LANES","SPAN","LENGTH","missings_count"
"X70",70,1,1,1,1,1,1,1,1,1,1,1,1,0
"X10",10,1,1,1,1,1,1,1,1,1,1,1,0,1
"X7",7,1,1,1,1,1,1,1,1,1,1,0,0,2
"X5",5,1,1,1,1,1,1,1,1,1,0,1,1,1
"X3",3,1,1,1,1,1,1,1,1,1,0,1,0,2
"X2",2,1,1,1,1,1,1,1,1,1,0,0,1,2
"X1",1,1,1,1,1,1,1,1,1,1,0,0,0,3
"X2.1",2,1,1,1,1,1,1,1,1,0,1,1,1,1
"X2.2",2,1,1,1,1,1,1,1,0,0,1,0,0,4
"X2.3",2,1,1,1,1,1,1,0,0,1,0,0,0,5
"X1.1",1,1,1,1,1,1,0,1,1,1,0,1,1,2
"X1.2",1,1,1,1,1,1,0,1,1,0,1,0,0,4
"X1.3",1,1,1,1,1,0,1,1,0,1,0,1,1,3
"X",NA,0,0,0,0,1,2,2,5,5,15,15,26,71
