"","pattern_count","binaryClass","Jeffrey_Lyons","Roger_Ebert","Rex_Reed","Gene_Siskel","Michael_Medved","Joel_Siegel","Gene_Shalit","missings_count"
"X11",11,1,1,1,1,1,1,1,1,0
"X18",18,1,1,1,1,1,1,1,0,1
"X4",4,1,1,1,1,1,1,0,1,1
"X7",7,1,1,1,1,1,1,0,0,2
"X6",6,1,1,1,1,1,0,1,1,1
"X14",14,1,1,1,1,1,0,1,0,2
"X4.1",4,1,1,1,1,1,0,0,0,3
"X3",3,1,1,1,1,0,1,1,1,1
"X3.1",3,1,1,1,1,0,1,1,0,2
"X1",1,1,1,1,1,0,1,0,1,2
"X6.1",6,1,1,1,1,0,1,0,0,3
"X2",2,1,1,1,1,0,0,1,1,2
"X2.1",2,1,1,1,1,0,0,1,0,3
"X7.1",7,1,1,1,1,0,0,0,0,4
"X3.2",3,1,1,1,0,1,1,1,1,1
"X10",10,1,1,1,0,1,1,1,0,2
"X3.3",3,1,1,1,0,1,1,0,1,2
"X10.1",10,1,1,1,0,1,1,0,0,3
"X3.4",3,1,1,1,0,1,0,1,1,2
"X8",8,1,1,1,0,1,0,1,0,3
"X1.1",1,1,1,1,0,1,0,0,1,3
"X11.1",11,1,1,1,0,1,0,0,0,4
"X1.2",1,1,1,1,0,0,1,1,1,2
"X3.5",3,1,1,1,0,0,1,1,0,3
"X1.3",1,1,1,1,0,0,1,0,1,3
"X3.6",3,1,1,1,0,0,1,0,0,4
"X4.2",4,1,1,1,0,0,0,1,0,4
"X4.3",4,1,1,1,0,0,0,0,0,5
"X2.2",2,1,1,0,1,1,1,1,1,1
"X1.4",1,1,1,0,1,1,1,1,0,2
"X2.3",2,1,1,0,1,1,1,0,0,3
"X1.5",1,1,1,0,1,1,0,1,0,3
"X3.7",3,1,1,0,1,0,1,1,1,2
"X6.2",6,1,1,0,1,0,1,1,0,3
"X1.6",1,1,1,0,1,0,1,0,1,3
"X7.2",7,1,1,0,1,0,1,0,0,4
"X4.4",4,1,1,0,1,0,0,1,1,3
"X11.2",11,1,1,0,1,0,0,1,0,4
"X8.1",8,1,1,0,1,0,0,0,0,5
"X4.5",4,1,1,0,0,1,1,1,0,3
"X2.4",2,1,1,0,0,1,0,0,0,5
"X2.5",2,1,1,0,0,0,1,1,1,3
"X2.6",2,1,1,0,0,0,1,1,0,4
"X8.2",8,1,1,0,0,0,1,0,0,5
"X3.8",3,1,1,0,0,0,0,1,0,5
"X5",5,1,1,0,0,0,0,0,0,6
"X1.7",1,1,0,1,1,1,1,1,1,1
"X5.1",5,1,0,1,1,1,1,1,0,2
"X2.7",2,1,0,1,1,1,1,0,0,3
"X2.8",2,1,0,1,1,1,0,1,1,2
"X3.9",3,1,0,1,1,1,0,0,0,4
"X2.9",2,1,0,1,1,0,1,1,0,3
"X1.8",1,1,0,1,1,0,1,0,0,4
"X6.3",6,1,0,1,1,0,0,0,0,5
"X2.10",2,1,0,1,0,1,1,1,0,3
"X4.6",4,1,0,1,0,1,1,0,0,4
"X3.10",3,1,0,1,0,1,0,1,0,4
"X10.2",10,1,0,1,0,1,0,0,0,5
"X5.2",5,1,0,1,0,0,1,0,0,5
"X3.11",3,1,0,1,0,0,0,1,0,5
"X5.3",5,1,0,1,0,0,0,0,0,6
"X1.9",1,1,0,0,1,1,1,0,0,4
"X1.10",1,1,0,0,1,0,1,1,1,3
"X2.11",2,1,0,0,1,0,1,1,0,4
"X1.11",1,1,0,0,1,0,1,0,1,4
"X3.12",3,1,0,0,1,0,1,0,0,5
"X2.12",2,1,0,0,1,0,0,1,0,5
"X3.13",3,1,0,0,1,0,0,0,0,6
"X2.13",2,1,0,0,0,1,0,0,0,6
"X1.12",1,1,0,0,0,0,1,1,0,5
"X3.14",3,1,0,0,0,0,1,0,0,6
"X3.15",3,1,0,0,0,0,0,1,0,6
"X1.13",1,1,0,0,0,0,0,0,1,6
"X2.14",2,1,0,0,0,0,0,0,0,7
"X",NA,0,79,97,135,144,145,147,247,994
