"","pattern_count","leaves","binaryClass","date","area.damaged","crop.hist","plant.growth","stem","temp","roots","plant.stand","precip","stem.cankers","canker.lesion","external.decay","mycelium","int.discolor","sclerotia","leafspots.halo","leafspots.marg","leafspot.size","leaf.malf","fruit.pods","seed","mold.growth","seed.size","leaf.shread","fruiting.bodies","fruit.spots","seed.discolor","shriveling","leaf.mild","germination","hail","severity","seed.tmt","lodging","missings_count"
"X531",531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X12",12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13
"X39",39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"X8",8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20
"X8.1",8,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,11
"X6",6,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,13
"X10",10,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,24
"X15",15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"X1",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"X",NA,0,0,1,1,16,16,16,26,30,32,34,34,34,34,34,34,34,63,63,63,63,67,75,75,75,79,85,85,85,85,87,91,99,99,99,99,1913
