"","pattern_count","make","carID","carID_and_Year","D_P","Protection","Year","Wt","Size","L_Leg","Chest_decel","R_Leg","Head_IC","Doors","missings_count"
"X256",256,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X62",62,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X7",7,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"X5",5,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"X2",2,1,1,1,1,1,1,1,1,1,1,0,1,0,2
"X6",6,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"X3",3,1,1,1,1,1,1,1,1,1,0,1,0,1,2
"X2.1",2,1,1,1,1,1,1,1,1,1,0,0,0,1,3
"X5.1",5,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"X2.2",2,1,1,1,1,1,1,1,1,0,1,1,1,0,2
"X2.3",2,1,1,1,1,1,1,1,1,0,1,0,1,1,2
"X",NA,0,0,0,0,0,0,0,0,9,11,11,12,66,109
