"","pattern_count","V2","V4","V5","Class","V3","V6","V8","V7","V9","V13","V10","V12","V11","missings_count"
"X99",99,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X74",74,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X45",45,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"X67",67,1,1,1,1,1,1,1,1,1,1,1,0,0,2
"X13",13,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"X14",14,1,1,1,1,1,1,1,1,1,1,0,1,0,2
"X15",15,1,1,1,1,1,1,1,1,1,1,0,0,1,2
"X15.1",15,1,1,1,1,1,1,1,1,1,1,0,0,0,3
"X18",18,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"X3",3,1,1,1,1,1,1,1,1,1,0,1,1,0,2
"X8",8,1,1,1,1,1,1,1,1,1,0,1,0,1,2
"X10",10,1,1,1,1,1,1,1,1,1,0,1,0,0,3
"X4",4,1,1,1,1,1,1,1,1,1,0,0,1,1,2
"X7",7,1,1,1,1,1,1,1,1,1,0,0,1,0,3
"X7.1",7,1,1,1,1,1,1,1,1,1,0,0,0,1,3
"X9",9,1,1,1,1,1,1,1,1,1,0,0,0,0,4
"X4.1",4,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"X6",6,1,1,1,1,1,1,1,1,0,1,1,1,0,2
"X5",5,1,1,1,1,1,1,1,1,0,1,1,0,1,2
"X14.1",14,1,1,1,1,1,1,1,1,0,1,1,0,0,3
"X3.1",3,1,1,1,1,1,1,1,1,0,1,0,1,1,2
"X2",2,1,1,1,1,1,1,1,1,0,1,0,1,0,3
"X3.2",3,1,1,1,1,1,1,1,1,0,1,0,0,1,3
"X9.1",9,1,1,1,1,1,1,1,1,0,1,0,0,0,4
"X1",1,1,1,1,1,1,1,1,1,0,0,1,1,1,2
"X3.3",3,1,1,1,1,1,1,1,1,0,0,1,1,0,3
"X1.1",1,1,1,1,1,1,1,1,1,0,0,1,0,1,3
"X10.1",10,1,1,1,1,1,1,1,1,0,0,1,0,0,4
"X5.1",5,1,1,1,1,1,1,1,1,0,0,0,1,1,3
"X5.2",5,1,1,1,1,1,1,1,1,0,0,0,1,0,4
"X2.1",2,1,1,1,1,1,1,1,1,0,0,0,0,1,4
"X12",12,1,1,1,1,1,1,1,1,0,0,0,0,0,5
"X1.2",1,1,1,1,1,1,1,1,0,0,1,1,0,0,4
"X1.3",1,1,1,1,1,1,1,0,1,1,0,1,1,0,3
"X1.4",1,1,1,1,1,1,1,0,0,1,1,1,0,1,3
"X1.5",1,1,1,1,1,1,0,1,1,1,1,1,0,0,3
"X1.6",1,1,1,1,1,1,0,1,1,1,0,0,1,0,4
"X1.7",1,1,1,1,1,0,1,1,1,1,0,0,1,0,4
"X1.8",1,1,1,1,1,0,1,1,0,0,0,0,0,0,7
"X",NA,0,0,0,0,2,2,2,3,87,109,128,236,266,835
