"","pattern_count","class","duration","wage.increase.first.year","statutory.holidays","working.hours","vacation","wage.increase.second.year","cost.of.living.adjustment","contribution.to.dental.plan","contribution.to.health.plan","shift.differential","bereavement.assistance","longterm.disability.assistance","pension","education.allowance","wage.increase.third.year","standby.pay","missings_count"
"X1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X1.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3
"X1.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4
"X1.4",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,4
"X1.5",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5
"X1.6",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,3
"X2",2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,4
"X1.7",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,4
"X2.1",2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3
"X1.8",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,4
"X1.9",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,4
"X1.10",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,6
"X1.11",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,6
"X1.12",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,5
"X1.13",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,4
"X1.14",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,5
"X1.15",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,6
"X1.16",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,6
"X1.17",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,7
"X2.2",2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,7
"X1.18",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,4
"X1.19",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,5
"X2.3",2,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,7
"X2.4",2,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,6
"X1.20",1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,6
"X1.21",1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,4
"X1.22",1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,6
"X1.23",1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,7
"X1.24",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,8
"X1.25",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,8
"X2.5",2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,9
"X1.26",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2
"X2.6",2,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,3
"X1.27",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,4
"X1.28",1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,6
"X1.29",1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,8
"X1.30",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,9
"X1.31",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,9
"X1.32",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,10
"X1.33",1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,9
"X1.34",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4
"X1.35",1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,6
"X1.36",1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,5
"X1.37",1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,10
"X1.38",1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,8
"X1.39",1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,10
"X1.40",1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,7
"X1.41",1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,9
"X1.42",1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,7
"X",NA,0,1,1,4,6,6,11,20,20,20,26,27,29,30,35,42,48,326
