"","pattern_count","pclass","survived","name","sex","sibsp","parch","ticket","fare","embarked","age","home.dest","boat","cabin","body","missings_count"
"X159",159,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X154",154,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
"X27",27,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"X53",53,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2
"X46",46,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2
"X245",245,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3
"X21",21,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2
"X81",81,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3
"X5",5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2
"X5.1",5,1,1,1,1,1,1,1,1,1,1,0,0,1,0,3
"X41",41,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3
"X206",206,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4
"X10",10,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2
"X17",17,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3
"X8",8,1,1,1,1,1,1,1,1,1,0,1,0,1,0,3
"X25",25,1,1,1,1,1,1,1,1,1,0,1,0,0,0,4
"X1",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,3
"X41.1",41,1,1,1,1,1,1,1,1,1,0,0,1,0,0,4
"X4",4,1,1,1,1,1,1,1,1,1,0,0,0,1,0,4
"X1.1",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,4
"X156",156,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5
"X1.2",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2
"X1.3",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,3
"X1.4",1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,4
"X",NA,0,0,0,0,0,0,0,1,2,263,564,823,1014,1188,3855
