"","pattern_count","V1","V2","V3","V6","V13","V11","V8","V4","V5","V12","V7","V10","V9","missings_count"
"X203",203,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X127",127,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X1",1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
"X1.1",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"X9",9,1,1,1,1,1,1,1,1,1,0,0,0,1,3
"X5",5,1,1,1,1,1,1,1,1,1,0,0,0,0,4
"X10",10,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"X2",2,1,1,1,1,1,1,1,1,0,1,1,1,0,2
"X3",3,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"X2.1",2,1,1,1,1,1,1,1,0,1,1,1,1,0,2
"X1.2",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"X1.3",1,1,1,1,1,1,1,0,1,1,1,1,1,0,2
"X1.4",1,1,1,1,1,1,0,1,1,1,1,1,1,0,2
"X",NA,0,0,0,0,0,1,2,5,12,14,15,15,139,203
