"","pattern_count","full_name","current_annual_salary","department","department_name","division","assignment_category","employee_position_title","date_first_hired","year_first_hired","gender","X2016_gross_pay_received","X2016_overtime_pay","underfilled_job_title","missings_count"
"X848",848,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X5460",5460,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X164",164,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"X2653",2653,1,1,1,1,1,1,1,1,1,1,1,0,0,2
"X76",76,1,1,1,1,1,1,1,1,1,1,0,0,1,2
"X10",10,1,1,1,1,1,1,1,1,1,1,0,0,0,3
"X1",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"X2",2,1,1,1,1,1,1,1,1,1,0,1,1,0,2
"X4",4,1,1,1,1,1,1,1,1,1,0,0,0,1,3
"X10.1",10,1,1,1,1,1,1,1,1,1,0,0,0,0,4
"X",NA,0,0,0,0,0,0,0,0,0,17,100,2917,8135,11169
