"","pattern_count","ID","target","sex","class","gain_ratio_1","gain_ratio_4","gain_ratio_3","gain_ratio_2","gain_ratio_5","gain_ratio_6","gain_ratio_7","gain_ratio_8","gain_ratio_11","gain_ratio_9","gain_ratio_10","missings_count"
"X112",112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X6",6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X7",7,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"X2",2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
"X8",8,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"X3",3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2
"X2.1",2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3
"X4",4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"X1",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2
"X2.2",2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3
"X2.3",2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4
"X3.1",3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"X2.4",2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2
"X1.1",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,3
"X3.2",3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,3
"X3.3",3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"X2.5",2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2
"X2.6",2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2
"X1.2",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,4
"X1.3",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,3
"X2.7",2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2
"X2.8",2,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,3
"X1.4",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,5
"X2.9",2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6
"X2.10",2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"X2.11",2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2
"X1.5",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3
"X1.6",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2
"X1.7",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,3
"X1.8",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,3
"X1.9",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,3
"X1.10",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,4
"X2.12",2,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,3
"X1.11",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,3
"X1.12",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,2
"X1.13",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,3
"X1.14",1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,5
"X1.15",1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,5
"X1.16",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,5
"X1.17",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,6
"X1.18",1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,5
"X2.13",2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"X1.19",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,3
"X1.20",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2
"X1.21",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,3
"X1.22",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,3
"X1.23",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,4
"X1.24",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,4
"X1.25",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,5
"X1.26",1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,6
"X1.27",1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,4
"X1.28",1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,4
"X1.29",1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,6
"X1.30",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2
"X1.31",1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,5
"X1.32",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,3
"X1.33",1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,5
"X1.34",1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,5
"X6.1",6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"X1.35",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2
"X1.36",1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,4
"X1.37",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,3
"X2.14",2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,2
"X1.38",1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,3
"X1.39",1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,4
"X1.40",1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,4
"X1.41",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,6
"X1.42",1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,5
"X2.15",2,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,3
"X1.43",1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,4
"X1.44",1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,4
"X1.45",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,7
"X1.46",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2
"X1.47",1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,3
"X1.48",1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,4
"X1.49",1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,5
