"","pattern_count","age","sex","chest_pain","oldpeak","num","trestbps","restecg","thalach","exang","fbs","chol","slope","thal","ca","missings_count"
"X1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X9",9,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X85",85,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
"X15",15,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2
"X1.1",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2
"X150",150,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3
"X5",5,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3
"X1.2",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,3
"X1.3",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3
"X15.1",15,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4
"X1.4",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2
"X2",2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3
"X1.5",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,3
"X4",4,1,1,1,1,1,1,1,1,1,0,1,0,0,0,4
"X1.6",1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,4
"X1.7",1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,5
"X",NA,0,0,0,0,0,1,1,1,1,8,22,189,265,290,778
