"","pattern_count","case_number","number_of_days","status","drug","age","sex","day","presence_of_edema","serum_bilirubin","albumin","SGOT","prothrombin_time","histologic_stage_of_disease","presence_of_spiders","presence_of_asictes","alkaline_phosphatase","presence_of_hepatomegaly","platelets","serum_cholesterol","missings_count"
"X1113",1113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X750",750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X7",7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"X8",8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
"X2",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"X1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2
"X1.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"X2.1",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3
"X1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"X2.2",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2
"X1.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,3
"X1.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,5
"X56",56,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6
"X",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,58,60,60,61,73,821,1133
