"","pattern_count","AGE","SEX","ANTIVIRALS","HISTOLOGY","Class","STEROID","FATIGUE","MALAISE","ANOREXIA","SGOT","SPLEEN_PALPABLE","SPIDERS","ASCITES","VARICES","BILIRUBIN","LIVER_BIG","LIVER_FIRM","ALBUMIN","ALK_PHOSPHATE","PROTIME","missings_count"
"X80",80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X32",32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X4",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"X13",13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
"X1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"X5",5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2
"X2",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3
"X1.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2
"X1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2
"X1.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,3
"X2.1",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,4
"X1.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5
"X3",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,4
"X1.5",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,5
"X1.6",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,6
"X2.2",2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,7
"X1.7",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,4
"X1.8",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,5
"X1.9",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,7
"X1.10",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"X1.11",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X",NA,0,0,0,0,0,1,1,1,1,4,5,5,5,5,6,10,11,16,29,67,167
