"","pattern_count","Class","immigration","adoption.of.the.budget.resolution","physician.fee.freeze","religious.groups.in.schools","handicapped.infants","anti.satellite.test.ban","el.salvador.aid","aid.to.nicaraguan.contras","crime","synfuels.corporation.cutback","mx.missile","superfund.right.to.sue","duty.free.exports","education.spending","water.project.cost.sharing","export.administration.act.south.africa","missings_count"
"X160",160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"X39",39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"X15",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"X6",6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
"X11",11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"X1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2
"X1.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2
"X10",10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"X2",2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2
"X1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,3
"X6.1",6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"X2.1",2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2
"X1.3",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2
"X1.4",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,4
"X6.2",6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"X7",7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2
"X1.5",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,3
"X1.6",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2
"X5",5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"X1.7",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2
"X1.8",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3
"X1.9",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2
"X1.10",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,3
"X2.2",2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"X1.11",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2
"X1.12",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,2
"X1.13",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,3
"X1.14",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,4
"X4",4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"X1.15",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2
"X1.16",1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,5
"X1.17",1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,4
"X1.18",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,5
"X2.3",2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"X1.19",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2
"X1.20",1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,3
"X1.21",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2
"X1.22",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,3
"X1.23",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,3
"X1.24",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"X1.25",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2
"X1.26",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2
"X1.27",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,3
"X1.28",1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,3
"X1.29",1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,6
"X1.30",1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,7
"X1.31",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2
"X2.4",2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"X1.32",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,3
"X1.33",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,9
"X1.34",1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,5
"X3",3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1.35",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2
"X1.36",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,2
"X1.37",1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,6
"X1.38",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,4
"X1.39",1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,5
"X1.40",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2
"X1.41",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2
"X1.42",1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,3
"X1.43",1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,4
"X1.44",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2
"X2.5",2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1.45",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2
"X1.46",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,3
"X1.47",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,3
"X1.48",1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,3
"X1.49",1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,5
"X1.50",1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,6
"X1.51",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
"X1.52",1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,3
"X1.53",1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,4
"X1.54",1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,6
"X1.55",1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,14
"X1.56",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
"X1.57",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"X",NA,0,7,11,11,11,12,14,15,15,17,21,22,25,27,31,38,89,366
