"","pattern_count","buoy","day","latitude","longitude","s_s_temp","air_temp","zon_winds","mer_winds","humidity","missings_count"
"X533",533,1,1,1,1,1,1,1,1,1,0
"X41",41,1,1,1,1,1,1,1,1,0,1
"X41.1",41,1,1,1,1,1,1,0,0,1,2
"X24",24,1,1,1,1,1,1,0,0,0,3
"X47",47,1,1,1,1,1,0,1,1,0,2
"X23",23,1,1,1,1,1,0,0,0,0,4
"X35",35,1,1,1,1,0,1,1,1,1,1
"X8",8,1,1,1,1,0,1,0,0,1,3
"X2",2,1,1,1,1,0,1,0,0,0,4
"X4",4,1,1,1,1,0,0,1,1,1,2
"X17",17,1,1,1,1,0,0,1,1,0,3
"X3",3,1,1,1,1,0,0,0,0,1,4
"X4.1",4,1,1,1,1,0,0,0,0,0,5
"X",NA,0,0,0,0,73,98,105,105,158,539
