"","pattern_count","season","river_size","fluid_velocity","algae_5","concentration_1","concentration_2","concentration_4","concentration_5","concentration_6","concentration_7","concentration_3","concentration_8","missings_count"
"X282",282,1,1,1,1,1,1,1,1,1,1,1,1,0
"X9",9,1,1,1,1,1,1,1,1,1,1,1,0,1
"X2",2,1,1,1,1,1,1,1,1,1,1,0,1,1
"X12",12,1,1,1,1,1,1,1,1,1,1,0,0,2
"X6",6,1,1,1,1,1,1,1,1,1,0,1,1,1
"X1",1,1,1,1,1,1,1,0,0,0,0,0,0,6
"X1.1",1,1,1,1,1,1,0,1,1,1,1,1,1,1
"X1.2",1,1,1,1,1,1,0,0,0,0,1,0,0,6
"X2.1",2,1,1,1,1,0,1,1,1,1,1,1,1,1
"X",NA,0,0,0,0,2,2,2,2,2,7,16,23,56
