"","pattern_count","still_alive","pericardial","binaryClass","wall_index","wall_score","age","fractional","lvdd","epss","alive_at_1","missings_count"
"X61",61,1,1,1,1,1,1,1,1,1,1,0
"X45",45,1,1,1,1,1,1,1,1,1,0,1
"X3",3,1,1,1,1,1,1,1,1,0,1,1
"X4",4,1,1,1,1,1,1,1,1,0,0,2
"X1",1,1,1,1,1,1,1,1,0,1,1,1
"X2",2,1,1,1,1,1,1,1,0,0,1,2
"X1.1",1,1,1,1,1,1,1,1,0,0,0,3
"X1.2",1,1,1,1,1,1,1,0,1,0,1,2
"X1.3",1,1,1,1,1,1,1,0,0,1,1,2
"X1.4",1,1,1,1,1,1,1,0,0,1,0,3
"X2.1",2,1,1,1,1,1,1,0,0,0,1,3
"X1.5",1,1,1,1,1,1,0,1,1,1,1,1
"X3.1",3,1,1,1,1,1,0,1,1,1,0,2
"X1.6",1,1,1,1,1,1,0,0,0,1,0,4
"X1.7",1,1,1,1,1,0,1,1,1,1,0,2
"X1.8",1,1,1,1,1,0,1,0,0,0,0,5
"X1.9",1,1,1,1,0,0,1,1,1,1,1,2
"X",NA,0,0,0,1,3,5,7,10,14,57,97
