"","dataset","imputation_method","model","metric","metric_value"
"1","openml_dataset_1018","mean","classif.rpart","auc",0.5
"2","openml_dataset_1018","mean","classif.rpart","f1",0.967911318553092
"3","openml_dataset_1018","mean","classif.glmnet","auc",0.900720587429448
"4","openml_dataset_1018","mean","classif.glmnet","f1",0.967855055523086
"5","openml_dataset_1018","mean","classif.kknn","auc",0.709948490328237
"6","openml_dataset_1018","mean","classif.kknn","f1",0.961515689757253
"7","openml_dataset_1018","mean","classif.ranger","auc",0.901353498821853
"8","openml_dataset_1018","mean","classif.ranger","f1",0.968402574605032
"9","openml_dataset_1018","mean","classif.xgboost","auc",0.89207353827607
"10","openml_dataset_1018","mean","classif.xgboost","f1",0.965130023640662
"11","openml_dataset_1590","mean","classif.rpart","auc",0.849921823382928
"12","openml_dataset_1590","mean","classif.rpart","f1",0.614781927396187
"13","openml_dataset_1590","mean","classif.glmnet","auc",0.903092971657308
"14","openml_dataset_1590","mean","classif.glmnet","f1",0.641102756892231
"15","openml_dataset_1590","mean","classif.kknn","auc",0.851049810307856
"16","openml_dataset_1590","mean","classif.kknn","f1",0.602626123013131
"17","openml_dataset_1590","mean","classif.ranger","auc",0.918192551702786
"18","openml_dataset_1590","mean","classif.ranger","f1",0.677284979171772
"19","openml_dataset_1590","mean","classif.xgboost","auc",0.876233636136924
"20","openml_dataset_1590","mean","classif.xgboost","f1",0.618855761482675
"21","openml_dataset_188","mean","classif.rpart","auc",0.903577926015767
"22","openml_dataset_188","mean","classif.rpart","f1",0.836363636363636
"23","openml_dataset_188","mean","classif.glmnet","auc",0.963816454416818
"24","openml_dataset_188","mean","classif.glmnet","f1",0.83495145631068
"25","openml_dataset_188","mean","classif.kknn","auc",0.910450778249444
"26","openml_dataset_188","mean","classif.kknn","f1",0.803921568627451
"27","openml_dataset_188","mean","classif.ranger","auc",0.957145744895897
"28","openml_dataset_188","mean","classif.ranger","f1",0.8
"29","openml_dataset_188","mean","classif.xgboost","auc",0.924297554073176
"30","openml_dataset_188","mean","classif.xgboost","f1",0.807692307692308
"31","openml_dataset_23381","mean","classif.rpart","auc",0.487196180555556
"32","openml_dataset_23381","mean","classif.rpart","f1",0.294117647058824
"33","openml_dataset_23381","mean","classif.glmnet","auc",0.530815972222222
"34","openml_dataset_23381","mean","classif.glmnet","f1",0.349206349206349
"35","openml_dataset_23381","mean","classif.kknn","auc",0.562065972222222
"36","openml_dataset_23381","mean","classif.kknn","f1",0.388888888888889
"37","openml_dataset_23381","mean","classif.ranger","auc",0.5546875
"38","openml_dataset_23381","mean","classif.ranger","f1",0.303030303030303
"39","openml_dataset_23381","mean","classif.xgboost","auc",0.519748263888889
"40","openml_dataset_23381","mean","classif.xgboost","f1",0.295081967213115
"41","openml_dataset_27","mean","classif.rpart","auc",0.873106060606061
"42","openml_dataset_27","mean","classif.rpart","f1",0.896551724137931
"43","openml_dataset_27","mean","classif.glmnet","auc",0.914772727272727
"44","openml_dataset_27","mean","classif.glmnet","f1",0.847058823529412
"45","openml_dataset_27","mean","classif.kknn","auc",0.866666666666667
